# All District Codes for Korean National Election Commission
# Format: city_code|district_code|district_name_korean|district_name_english
# Generated automatically by district_scraper.py

# 서울특별시 (1100)
1100|1101|종로구|종로-gu
1100|1102|중구|중-gu
1100|1103|용산구|용산-gu
1100|1104|성동구|성동-gu
1100|1105|광진구|광진-gu
1100|1106|동대문구|동대문-gu
1100|1107|중랑구|중랑-gu
1100|1108|성북구|성북-gu
1100|1109|강북구|강북-gu
1100|1110|도봉구|도봉-gu
1100|1111|노원구|노원-gu
1100|1112|은평구|은평-gu
1100|1113|서대문구|서대문-gu
1100|1114|마포구|마포-gu
1100|1115|양천구|양천-gu
1100|1116|강서구|강서-gu
1100|1117|구로구|구로-gu
1100|1118|금천구|금천-gu
1100|1119|영등포구|영등포-gu
1100|1120|동작구|동작-gu
1100|1121|관악구|관악-gu
1100|1122|서초구|서초-gu
1100|1123|강남구|강남-gu
1100|1124|송파구|송파-gu
1100|1125|강동구|강동-gu

# 부산광역시 (2600)
2600|2601|중구|중-gu
2600|2602|서구|서-gu
2600|2603|동구|동-gu
2600|2604|영도구|영도-gu
2600|2605|부산진구|부산진-gu
2600|2606|동래구|동래-gu
2600|2607|남구|남-gu
2600|2608|북구|북-gu
2600|2609|해운대구|해운대-gu
2600|2610|기장군|기장-gun
2600|2611|사하구|사하-gu
2600|2612|금정구|금정-gu
2600|2613|강서구|강서-gu
2600|2614|연제구|연제-gu
2600|2615|수영구|수영-gu
2600|2616|사상구|사상-gu

# 대구광역시 (2700)
2700|2701|중구|중-gu
2700|2702|동구|동-gu
2700|2703|서구|서-gu
2700|2704|남구|남-gu
2700|2705|북구|북-gu
2700|2706|수성구|수성-gu
2700|2707|달서구|달서-gu
2700|2708|달성군|달성-gun
2700|2709|군위군|군위-gun

# 인천광역시 (2800)
2800|2801|중구|중-gu
2800|2802|동구|동-gu
2800|2803|미추홀구|미추홀-gu
2800|2804|연수구|연수-gu
2800|2805|남동구|남동-gu
2800|2806|부평구|부평-gu
2800|2807|계양구|계양-gu
2800|2808|서구|서-gu
2800|2809|강화군|강화-gun
2800|2810|옹진군|옹진-gun

# 광주광역시 (2900)
2900|2901|동구|동-gu
2900|2902|서구|서-gu
2900|2903|남구|남-gu
2900|2904|북구|북-gu
2900|2905|광산구|광산-gu

# 대전광역시 (3000)
3000|3001|동구|동-gu
3000|3002|중구|중-gu
3000|3003|서구|서-gu
3000|3004|유성구|유성-gu
3000|3005|대덕구|대덕-gu

# 울산광역시 (3100)
3100|3101|중구|중-gu
3100|3102|남구|남-gu
3100|3103|동구|동-gu
3100|3104|북구|북-gu
3100|3105|울주군|울주-gun

# 경기도 (4100)
4100|4101|수원시장안구|수원시장안-gu
4100|4102|수원시권선구|수원시권선-gu
4100|4103|수원시팔달구|수원시팔달-gu
4100|4104|수원시영통구|수원시영통-gu
4100|4105|성남시수정구|성남시수정-gu
4100|4106|성남시중원구|성남시중원-gu
4100|4107|성남시분당구|성남시분당-gu
4100|4108|의정부시|의정부-si
4100|4109|안양시만안구|안양시만안-gu
4100|4110|안양시동안구|안양시동안-gu
4100|4150|부천시원미구|부천시원미-gu
4100|4151|부천시소사구|부천시소사-gu
4100|4152|부천시오정구|부천시오정-gu
4100|4114|광명시|광명-si
4100|4115|평택시|평택-si
4100|4116|양주시|양주-si
4100|4117|동두천시|동두천-si
4100|4118|안산시상록구|안산시상록-gu
4100|4119|안산시단원구|안산시단원-gu
4100|4120|고양시덕양구|고양시덕양-gu
4100|4121|고양시일산동구|고양시일산동-gu
4100|4122|고양시일산서구|고양시일산서-gu
4100|4123|과천시|과천-si
4100|4124|의왕시|의왕-si
4100|4125|구리시|구리-si
4100|4126|남양주시|남양주-si
4100|4127|오산시|오산-si
4100|4148|화성시갑|화성시갑
4100|4149|화성시을|화성시을
4100|4129|시흥시|시흥-si
4100|4130|군포시|군포-si
4100|4131|하남시|하남-si
4100|4132|파주시|파주-si
4100|4133|여주시|여주-si
4100|4134|이천시|이천-si
4100|4135|용인시처인구|용인시처인-gu
4100|4136|용인시수지구|용인시수지-gu
4100|4137|용인시기흥구|용인시기흥-gu
4100|4138|안성시|안성-si
4100|4139|김포시|김포-si
4100|4140|광주시|광주-si
4100|4141|포천시|포천-si
4100|4142|연천군|연천-gun
4100|4143|양평군|양평-gun
4100|4144|가평군|가평-gun

# 충청북도 (4300)
