District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
청주시상당구,36758,30997,15544,50.5,12955,42.09,1970,6.4,279,0.9,30,0.09,0,0,0.0
청주시서원구,47236,39295,19924,51.05,15688,40.2,2960,7.58,407,1.04,44,0.11,0,0,0.0
청주시흥덕구,20515,16344,8208,50.65,6576,40.58,1238,7.64,163,1.0,19,0.11,0,0,0.0
청주시청원구,33073,27512,14287,52.33,10389,38.05,2302,8.43,283,1.03,38,0.13,0,0,0.0
충주시,46792,42421,22426,53.22,16275,38.62,3083,7.31,317,0.75,36,0.08,0,0,0.0
제천시,5149,5070,2659,52.95,1999,39.81,309,6.15,48,0.95,6,0.11,0,0,0.0
단양군,7565,6744,2753,41.13,3628,54.21,271,4.04,36,0.53,4,0.05,0,0,0.0
영동군,34590,26559,10356,39.32,14427,54.77,1299,4.93,230,0.87,25,0.09,0,0,0.0
보은군,12657,9958,4118,41.69,5219,52.83,443,4.48,81,0.82,16,0.16,0,0,0.0
옥천군,16002,12738,5287,41.94,6544,51.91,644,5.1,107,0.84,24,0.19,0,0,0.0
음성군,42848,35136,17979,51.58,14614,41.93,1942,5.57,273,0.78,43,0.12,0,0,0.0
진천군,11513,8684,4028,46.62,4044,46.8,471,5.45,80,0.92,17,0.19,0,0,0.0
괴산군,11110,10649,5373,50.91,4555,43.16,508,4.81,101,0.95,16,0.15,0,0,0.0
증평군,23402,17687,8515,48.51,7591,43.25,1246,7.09,171,0.97,27,0.15,0,0,0.0
