District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
수원시장안구,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
수원시권선구,120455,83403,37940,45.82,36581,44.18,7392,8.92,810,0.97,73,0.08,0,0,0.0
수원시팔달구,110726,75931,30616,40.62,36606,48.57,7309,9.69,734,0.97,92,0.12,0,0,0.0
수원시영통구,118788,88194,35765,40.84,40420,46.16,10414,11.89,883,1.0,82,0.09,0,0,0.0
성남시수정구,7044,7030,4914,70.27,1547,22.12,474,6.77,55,0.78,3,0.04,0,0,0.0
성남시중원구,59974,50271,30408,60.87,15912,31.85,3220,6.44,363,0.72,49,0.09,0,0,0.0
성남시분당구,101235,76313,24551,32.38,43302,57.11,7219,9.52,692,0.91,49,0.06,0,0,0.0
의정부시,72832,47449,20570,43.67,22385,47.52,3644,7.73,461,0.97,41,0.08,0,0,0.0
안양시만안구,62151,43773,17822,41.02,21282,48.98,3911,9.0,398,0.91,34,0.07,0,0,0.0
안양시동안구,63162,53943,26998,50.38,21145,39.45,4835,9.02,569,1.06,39,0.07,0,0,0.0
부천시원미구,54869,46499,26362,57.1,15680,33.96,3658,7.92,429,0.92,38,0.08,0,0,0.0
부천시소사구,99928,71894,32111,44.97,33049,46.29,5382,7.53,793,1.11,57,0.07,0,0,0.0
부천시오정구,41169,31299,17805,57.24,10999,35.36,1998,6.42,260,0.83,40,0.12,0,0,0.0
광명시,66013,54100,28026,52.13,20642,38.39,4487,8.34,566,1.05,40,0.07,0,0,0.0
평택시,154796,109184,51909,47.87,46517,42.9,9017,8.31,860,0.79,124,0.11,0,0,0.0
양주시,10912,6420,2456,38.52,3472,54.46,386,6.05,52,0.81,9,0.14,0,0,0.0
동두천시,15074,8978,3515,39.48,4803,53.94,512,5.75,61,0.68,12,0.13,0,0,0.0
안산시상록구,89470,62340,32721,52.86,23773,38.41,4766,7.7,561,0.9,69,0.11,0,0,0.0
안산시단원구,130668,88928,42204,47.82,37337,42.3,7710,8.73,883,1.0,120,0.13,0,0,0.0
고양시덕양구,157996,115502,52882,46.09,51249,44.66,9298,8.1,1223,1.06,82,0.07,0,0,0.0
고양시일산동구,58905,42938,19250,45.18,19374,45.47,3470,8.14,465,1.09,40,0.09,0,0,0.0
고양시일산서구,65445,46284,18901,41.07,22898,49.75,3633,7.89,552,1.19,35,0.07,0,0,0.0
과천시,10102,8825,4215,48.04,3683,41.98,778,8.86,93,1.06,4,0.04,0,0,0.0
의왕시,51152,43366,22298,51.71,17021,39.47,3378,7.83,385,0.89,34,0.07,0,0,0.0
구리시,26289,24550,14921,61.14,7450,30.53,1832,7.5,188,0.77,10,0.04,0,0,0.0
남양주시,193027,140656,65746,47.04,62792,44.92,9859,7.05,1232,0.88,128,0.09,0,0,0.0
오산시,34532,25739,14057,55.04,8843,34.62,2368,9.27,242,0.94,28,0.1,0,0,0.0
화성시갑,55398,36946,17549,47.8,15969,43.49,2865,7.8,277,0.75,51,0.13,0,0,0.0
화성시을,94035,71064,31458,44.55,28735,40.69,9685,13.71,681,0.96,52,0.07,0,0,0.0
시흥시,837,837,507,60.79,260,31.17,61,7.31,4,0.47,2,0.23,0,0,0.0
군포시,49289,38701,20539,53.42,14473,37.64,3017,7.84,389,1.01,29,0.07,0,0,0.0
하남시,82505,63203,29841,47.5,27504,43.78,4880,7.76,552,0.87,45,0.07,0,0,0.0
파주시,67561,47485,23632,50.07,20010,42.4,3125,6.62,385,0.81,39,0.08,0,0,0.0
여주시,30109,19933,7083,35.79,11526,58.24,1002,5.06,158,0.79,20,0.1,0,0,0.0
이천시,23790,21164,11232,53.4,8342,39.66,1288,6.12,144,0.68,26,0.12,0,0,0.0
용인시처인구,58993,51511,29694,58.02,17390,33.98,3656,7.14,382,0.74,54,0.1,0,0,0.0
용인시수지구,93416,70674,26267,37.38,36590,52.08,6678,9.5,672,0.95,46,0.06,0,0,0.0
용인시기흥구,46121,33527,14912,44.75,15134,45.42,2962,8.89,285,0.85,24,0.07,0,0,0.0
안성시,68544,49162,22104,45.29,23112,47.35,3201,6.55,342,0.7,46,0.09,0,0,0.0
김포시,75790,52712,23699,45.23,24162,46.11,4045,7.72,446,0.85,41,0.07,0,0,0.0
광주시,177712,117181,52725,45.26,55017,47.23,7780,6.67,872,0.74,92,0.07,0,0,0.0
포천시,54843,40412,16885,42.1,20697,51.61,2239,5.58,235,0.58,42,0.1,0,0,0.0
연천군,7171,6630,3234,49.22,2760,42.0,514,7.82,53,0.8,9,0.13,0,0,0.0
양평군,28386,23456,11028,47.34,10873,46.68,1155,4.95,210,0.9,25,0.1,0,0,0.0
가평군,18928,15716,6990,44.81,7654,49.06,834,5.34,107,0.68,14,0.08,0,0,0.0
