District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
창원시의창구,57305,46124,17982,39.26,23977,52.35,3283,7.16,504,1.1,48,0.1,0,0,0.0
창원시성산구,39528,34005,15085,44.7,15112,44.78,2989,8.85,516,1.52,40,0.11,0,0,0.0
창원시마산합포구,45584,40217,15819,39.66,21168,53.08,2499,6.26,341,0.85,51,0.12,0,0,0.0
창원시마산회원구,36502,31343,12169,39.14,16631,53.49,1962,6.31,283,0.91,44,0.14,0,0,0.0
창원시진해구,39873,34859,15207,43.99,16420,47.5,2612,7.55,289,0.83,38,0.1,0,0,0.0
진주시,22663,22236,9923,45.05,10264,46.6,1609,7.3,208,0.94,21,0.09,0,0,0.0
통영시,24191,22618,9696,43.25,11222,50.06,1292,5.76,183,0.81,24,0.1,0,0,0.0
고성군,13810,11111,3637,32.99,6847,62.11,455,4.12,74,0.67,10,0.09,0,0,0.0
사천시,33820,29667,12005,40.82,15173,51.6,1912,6.5,276,0.93,37,0.12,0,0,0.0
김해시,80481,66571,33330,50.45,27626,41.81,4435,6.71,588,0.89,83,0.12,0,0,0.0
밀양시,45179,37904,13990,37.21,21464,57.1,1818,4.83,280,0.74,37,0.09,0,0,0.0
거제시,78940,63671,31632,50.04,27079,42.83,3816,6.03,628,0.99,55,0.08,0,0,0.0
의령군,6839,6706,2614,39.51,3606,54.51,316,4.77,61,0.92,18,0.27,0,0,0.0
함안군,22961,19297,7414,38.7,10505,54.84,1033,5.39,177,0.92,26,0.13,0,0,0.0
창녕군,8093,8093,2946,36.73,4638,57.83,368,4.58,60,0.74,8,0.09,0,0,0.0
양산시,148321,118154,54557,46.48,53576,45.65,8018,6.83,1074,0.91,132,0.11,0,0,0.0
하동군,11248,11248,5175,46.62,5232,47.13,575,5.18,104,0.93,14,0.12,0,0,0.0
남해군,8321,8320,3462,42.12,4336,52.76,333,4.05,74,0.9,13,0.15,0,0,0.0
함양군,8213,7672,2897,38.26,4168,55.05,402,5.31,87,1.14,16,0.21,0,0,0.0
산청군,15156,12979,4498,35.04,7654,59.63,541,4.21,123,0.95,19,0.14,0,0,0.0
거창군,13482,11848,3650,31.18,7346,62.76,604,5.16,82,0.7,22,0.18,0,0,0.0
합천군,7669,7450,2325,31.67,4602,62.68,334,4.54,61,0.83,19,0.25,0,0,0.0
