District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,12373,10654,4839,45.73,5031,47.54,632,5.97,69,0.65,10,0.09,0,0,0.0
서구,52906,42652,16933,39.99,22258,52.57,2773,6.54,333,0.78,41,0.09,0,0,0.0
동구,47952,37866,15213,40.44,19589,52.08,2498,6.64,271,0.72,42,0.11,0,0,0.0
영도구,29407,24629,11826,48.31,11205,45.77,1282,5.23,144,0.58,22,0.08,0,0,0.0
부산진구,177549,139338,57904,41.85,69291,50.08,9965,7.2,1055,0.76,129,0.09,0,0,0.0
동래구,81845,68547,29058,42.64,33378,48.98,5074,7.44,576,0.84,50,0.07,0,0,0.0
남구,119317,93772,35787,38.38,49917,53.54,6750,7.24,699,0.74,74,0.07,0,0,0.0
북구,83664,69082,30080,43.82,33334,48.56,4613,6.72,535,0.77,70,0.1,0,0,0.0
해운대구,69776,63808,31725,50.03,26963,42.52,4181,6.59,470,0.74,62,0.09,0,0,0.0
기장군,44465,31367,10889,34.94,17851,57.28,2149,6.89,237,0.76,37,0.11,0,0,0.0
사하구,62321,52365,25141,48.3,23223,44.61,3255,6.25,378,0.72,54,0.1,0,0,0.0
금정구,123885,85500,21917,25.78,56187,66.11,6110,7.18,708,0.83,61,0.07,0,0,0.0
강서구,50575,40082,18571,46.6,17949,45.04,2987,7.49,310,0.77,31,0.07,0,0,0.0
연제구,138300,106978,40300,37.92,57573,54.17,7437,6.99,864,0.81,101,0.09,0,0,0.0
수영구,78946,61756,24310,39.66,31944,52.11,4449,7.25,546,0.89,45,0.07,0,0,0.0
사상구,51166,37489,14340,38.51,19960,53.6,2582,6.93,304,0.81,50,0.13,0,0,0.0
