District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
중구,71752,54337,28335,52.47,21011,38.91,4145,7.67,454,0.84,47,0.08,0,0,0.0
동구,10907,10625,6515,61.7,3276,31.02,620,5.87,136,1.28,12,0.11,0,0,0.0
미추홀구,79659,69206,39726,57.81,23092,33.6,5202,7.57,632,0.91,60,0.08,0,0,0.0
연수구,52285,40217,18531,46.35,17626,44.09,3397,8.49,386,0.96,36,0.09,0,0,0.0
남동구,12618,11032,6438,58.9,3606,32.99,745,6.81,119,1.08,22,0.2,0,0,0.0
부평구,127081,94591,47774,50.9,37484,39.93,7525,8.01,982,1.04,88,0.09,0,0,0.0
계양구,24855,22452,14042,62.91,6486,29.06,1545,6.92,222,0.99,23,0.1,0,0,0.0
서구,192333,135607,64800,48.1,56681,42.07,11730,8.7,1362,1.01,146,0.1,0,0,0.0
강화군,52352,39344,15191,38.84,21857,55.89,1761,4.5,259,0.66,38,0.09,0,0,0.0
옹진군,12069,9429,3429,36.88,5083,54.67,701,7.54,62,0.66,21,0.22,0,0,0.0
