District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
서울특별시,3046297,2464201,1182132,48.32,1013540,41.43,218890,8.94,29717,1.21,2094,0.08,0,0,0.0
부산광역시,1525609,1190297,473506,40.04,617088,52.18,81559,6.89,9294,0.78,1071,0.09,0,0,0.0
대구광역시,1111682,849234,165807,19.64,610765,72.36,60819,7.2,5991,0.7,678,0.08,0,0,0.0
인천광역시,675684,520278,264971,51.28,206807,40.02,39493,7.64,4913,0.95,520,0.1,0,0,0.0
광주광역시,602880,471774,394587,84.11,42697,9.1,27072,5.77,4259,0.9,462,0.09,0,0,0.0
대전광역시,582548,467951,236900,51.01,180989,38.97,41386,8.91,4541,0.97,515,0.11,0,0,0.0
울산광역시,447230,364278,157535,43.54,172227,47.6,27256,7.53,4311,1.19,427,0.11,0,0,0.0
세종특별자치시,109273,91817,52439,57.52,28747,31.53,8764,9.61,1126,1.23,75,0.08,0,0,0.0
경기도,4956307,3777137,1867352,49.76,1546510,41.21,301935,8.04,33520,0.89,3299,0.08,0,0,0.0
강원특별자치도,695835,554672,245167,44.52,262328,47.64,37713,6.84,4804,0.87,615,0.11,0,0,0.0
충청북도,693233,553774,268970,48.93,236139,42.95,38908,7.07,5003,0.91,654,0.11,0,0,0.0
충청남도,922535,712951,343924,48.59,309004,43.65,47834,6.75,6240,0.88,755,0.1,0,0,0.0
전북특별자치도,755222,623354,519406,83.87,66594,10.75,27349,4.41,4900,0.79,1018,0.16,0,0,0.0
전라남도,829864,646052,550978,85.88,60469,9.42,24232,3.77,4567,0.71,1303,0.2,0,0,0.0
경상북도,1062356,878380,236865,27.18,575252,66.02,51739,5.93,6448,0.74,902,0.1,0,0,0.0
경상남도,1166465,957490,397287,41.83,479995,50.54,61999,6.52,9265,0.97,1137,0.11,0,0,0.0
제주특별자치도,174498,123233,63778,52.21,47437,38.83,9087,7.43,1698,1.39,154,0.12,0,0,0.0
