District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
전주시완산구,145618,124698,104170,83.97,12236,9.86,6466,5.21,1027,0.82,151,0.12,0,0,0.0
전주시덕진구,144228,101212,76138,75.71,16016,15.92,7184,7.14,1097,1.09,124,0.12,0,0,0.0
군산시,89577,75087,63001,84.38,8136,10.89,2958,3.96,491,0.65,74,0.09,0,0,0.0
익산시,91189,78867,66729,85.17,7621,9.72,3370,4.3,519,0.66,100,0.12,0,0,0.0
정읍시,47158,42543,37678,89.18,2942,6.96,1270,3.0,279,0.66,80,0.18,0,0,0.0
남원시,29526,28673,25682,90.25,1725,6.06,772,2.71,219,0.76,57,0.2,0,0,0.0
김제시,50204,43043,37499,87.7,3634,8.49,1278,2.98,260,0.6,83,0.19,0,0,0.0
완주군,57399,43113,34793,81.32,5463,12.76,1993,4.65,449,1.04,87,0.2,0,0,0.0
진안군,15326,13308,11283,85.43,1406,10.64,381,2.88,100,0.75,37,0.28,0,0,0.0
무주군,20899,17383,13395,77.7,2876,16.68,785,4.55,135,0.78,47,0.27,0,0,0.0
장수군,7433,7406,6558,89.22,507,6.89,204,2.77,64,0.87,17,0.23,0,0,0.0
임실군,14166,12718,11183,88.62,987,7.82,324,2.56,92,0.72,33,0.26,0,0,0.0
순창군,20425,17174,14832,87.09,1550,9.1,477,2.8,137,0.8,33,0.19,0,0,0.0
고창군,37957,31912,27654,87.31,2831,8.93,907,2.86,192,0.6,89,0.28,0,0,0.0
부안군,27087,21032,18095,86.57,2117,10.12,516,2.46,118,0.56,54,0.25,0,0,0.0
