District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
춘천시,60035,59331,34742,58.97,18010,30.56,5437,9.22,677,1.14,48,0.08,0,0,0.0
원주시,168602,127132,57403,45.47,57823,45.8,9629,7.62,1260,0.99,128,0.1,0,0,0.0
강릉시,167108,125751,51037,40.85,64068,51.28,8602,6.88,1097,0.87,116,0.09,0,0,0.0
동해시,61491,46981,19829,42.46,23398,50.11,3005,6.43,392,0.83,67,0.14,0,0,0.0
삼척시,49408,38324,14534,38.2,20908,54.95,2253,5.92,313,0.82,38,0.09,0,0,0.0
태백시,33422,25989,10894,42.2,13277,51.43,1430,5.53,192,0.74,20,0.07,0,0,0.0
정선군,19907,16037,7391,46.42,7639,47.97,765,4.8,109,0.68,18,0.11,0,0,0.0
속초시,37702,30437,15035,49.7,13050,43.14,1884,6.22,247,0.81,30,0.09,0,0,0.0
고성군,19149,15821,6905,44.03,7538,48.07,1093,6.97,125,0.79,20,0.12,0,0,0.0
양양군,24980,19670,8061,41.26,10304,52.74,1017,5.2,140,0.71,12,0.06,0,0,0.0
인제군,21871,17233,7281,42.72,8099,47.52,1482,8.69,145,0.85,33,0.19,0,0,0.0
홍천군,48181,37168,15140,41.09,19297,52.38,2097,5.69,260,0.7,46,0.12,0,0,0.0
횡성군,37629,28768,11341,39.73,15613,54.69,1364,4.77,194,0.67,32,0.11,0,0,0.0
영월군,24197,19512,8249,42.59,10065,51.97,887,4.58,138,0.71,25,0.12,0,0,0.0
평창군,25575,20628,8597,41.97,10638,51.93,1076,5.25,150,0.73,21,0.1,0,0,0.0
화천군,20014,15736,6260,40.18,7734,49.64,1401,8.99,157,1.0,27,0.17,0,0,0.0
양구군,13117,10967,4721,43.42,5046,46.41,993,9.13,92,0.84,19,0.17,0,0,0.0
철원군,15993,13686,6316,46.61,6002,44.29,1111,8.19,99,0.73,21,0.15,0,0,0.0
