District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
포항시북구,146924,119508,33931,28.56,75645,63.67,8064,6.78,1050,0.88,104,0.08,0,0,0.0
포항시남구,83689,65829,18155,27.78,41908,64.13,4661,7.13,559,0.85,58,0.08,0,0,0.0
울릉군,8412,6716,1814,27.26,4351,65.38,454,6.82,30,0.45,5,0.07,0,0,0.0
경주시,77604,70664,23895,34.07,40843,58.24,4353,6.2,971,1.38,64,0.09,0,0,0.0
김천시,98496,78122,19780,25.49,52369,67.49,4818,6.2,558,0.71,70,0.09,0,0,0.0
안동시,115986,91126,27679,30.63,56716,62.78,5192,5.74,673,0.74,80,0.08,0,0,0.0
구미시,146227,123687,40023,32.61,70781,57.68,10808,8.8,949,0.77,138,0.11,0,0,0.0
영주시,65820,53200,14411,27.32,35412,67.14,2539,4.81,328,0.62,52,0.09,0,0,0.0
영천시,51970,42189,8670,20.7,31208,74.54,1727,4.12,219,0.52,40,0.09,0,0,0.0
상주시,65127,52445,11243,21.61,37823,72.72,2565,4.93,321,0.61,57,0.1,0,0,0.0
문경시,38759,32084,7004,22.02,23280,73.19,1289,4.05,199,0.62,35,0.11,0,0,0.0
예천군,34057,27979,7263,26.25,18578,67.16,1599,5.78,188,0.67,33,0.11,0,0,0.0
경산시,58406,45674,11008,24.29,30762,67.88,3148,6.94,345,0.76,50,0.11,0,0,0.0
청도군,29916,23564,4437,18.98,17970,76.88,832,3.55,109,0.46,26,0.11,0,0,0.0
고령군,27768,22163,4130,18.8,16684,75.97,990,4.5,126,0.57,29,0.13,0,0,0.0
성주군,27207,22751,4294,19.04,17238,76.44,871,3.86,120,0.53,28,0.12,0,0,0.0
칠곡군,85097,62517,15843,25.51,42019,67.66,3711,5.97,450,0.72,77,0.12,0,0,0.0
의성군,41422,32966,5588,17.09,25779,78.88,1087,3.32,188,0.57,38,0.11,0,0,0.0
청송군,22070,18250,3789,20.95,13348,73.83,797,4.4,125,0.69,19,0.1,0,0,0.0
영양군,14161,11615,2848,24.72,8104,70.35,484,4.2,72,0.62,10,0.08,0,0,0.0
영덕군,28364,22343,3791,17.12,17432,78.74,760,3.43,135,0.6,19,0.08,0,0,0.0
봉화군,21252,16997,4087,24.26,12006,71.27,627,3.72,106,0.62,18,0.1,0,0,0.0
울진군,38373,29842,6381,21.56,21540,72.78,1468,4.96,171,0.57,32,0.1,0,0,0.0
