District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
천안시서북구,185660,131726,62611,47.88,55207,42.22,11472,8.77,1338,1.02,131,0.1,0,0,0.0
천안시동남구,120405,93265,45567,49.19,38584,41.65,7475,8.07,899,0.97,99,0.1,0,0,0.0
공주시,54453,43718,20578,47.44,19731,45.48,2710,6.24,306,0.7,50,0.11,0,0,0.0
보령시,63359,49578,21208,43.1,24852,50.51,2737,5.56,348,0.7,54,0.1,0,0,0.0
아산시,177516,132350,66426,50.53,53244,40.5,10383,7.89,1289,0.98,105,0.07,0,0,0.0
서산시,102990,79521,39776,50.37,32618,41.31,5729,7.25,732,0.92,98,0.12,0,0,0.0
태안군,37145,29107,12889,44.62,14324,49.59,1424,4.93,209,0.72,37,0.12,0,0,0.0
금산군,26833,21328,10276,48.52,9663,45.63,1057,4.99,151,0.71,28,0.13,0,0,0.0
논산시,60981,41852,17802,42.85,21168,50.96,2179,5.24,340,0.81,49,0.11,0,0,0.0
계룡시,23318,19456,9489,49.13,8113,42.01,1522,7.88,173,0.89,14,0.07,0,0,0.0
당진시,136527,99805,49917,50.33,41887,42.23,6355,6.4,910,0.91,104,0.1,0,0,0.0
부여군,48518,36645,14743,40.55,19622,53.98,1698,4.67,255,0.7,31,0.08,0,0,0.0
서천군,40783,30231,13551,45.19,14849,49.52,1335,4.45,204,0.68,46,0.15,0,0,0.0
홍성군,50170,39765,18740,47.45,17903,45.33,2385,6.03,417,1.05,48,0.12,0,0,0.0
청양군,20318,16687,7013,42.43,8355,50.55,1024,6.19,110,0.66,26,0.15,0,0,0.0
예산군,57352,42559,15203,35.97,24389,57.71,2307,5.45,312,0.73,44,0.1,0,0,0.0
