District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
목포시,156473,123747,107802,87.54,9717,7.89,4541,3.68,957,0.77,118,0.09,0,0,0.0
여수시,132108,92995,75834,82.05,11134,12.04,4633,5.01,711,0.76,112,0.12,0,0,0.0
순천시,176812,143634,120630,84.44,13745,9.62,7227,5.05,1084,0.75,164,0.11,0,0,0.0
나주시,57353,41846,34888,84.0,4386,10.56,1854,4.46,326,0.78,76,0.18,0,0,0.0
광양시,109123,89451,72667,81.63,10473,11.76,5137,5.77,646,0.72,92,0.1,0,0,0.0
담양군,33925,27586,24371,88.8,2005,7.3,825,3.0,172,0.62,71,0.25,0,0,0.0
장성군,38328,32243,27774,86.66,2678,8.35,1326,4.13,220,0.68,48,0.14,0,0,0.0
곡성군,24642,20660,17677,86.4,1806,8.82,724,3.53,195,0.95,56,0.27,0,0,0.0
구례군,21975,18821,16019,85.72,1879,10.05,627,3.35,130,0.69,32,0.17,0,0,0.0
고흥군,55564,46747,40708,87.78,3968,8.55,1304,2.81,266,0.57,124,0.26,0,0,0.0
보성군,29640,24121,21093,88.12,2035,8.5,582,2.43,165,0.68,59,0.24,0,0,0.0
화순군,34548,25839,22308,87.07,2180,8.5,881,3.43,191,0.74,60,0.23,0,0,0.0
장흥군,31153,26253,22956,88.09,2021,7.75,819,3.14,182,0.69,80,0.3,0,0,0.0
강진군,17614,16536,14597,89.02,1212,7.39,435,2.65,114,0.69,38,0.23,0,0,0.0
완도군,36541,30674,27589,90.73,1817,5.97,763,2.5,152,0.49,84,0.27,0,0,0.0
해남군,56611,48053,42204,88.53,3496,7.33,1576,3.3,294,0.61,99,0.2,0,0,0.0
진도군,22731,18773,16459,88.47,1463,7.86,534,2.87,98,0.52,48,0.25,0,0,0.0
영암군,45634,37337,32195,86.85,3006,8.1,1466,3.95,330,0.89,70,0.18,0,0,0.0
무안군,51756,40006,33945,85.43,3654,9.19,1717,4.32,342,0.86,75,0.18,0,0,0.0
영광군,39527,31529,27255,87.04,2623,8.37,1170,3.73,160,0.51,105,0.33,0,0,0.0
함평군,19403,15159,13401,89.21,1124,7.48,360,2.39,85,0.56,51,0.33,0,0,0.0
신안군,27452,21663,19213,89.52,1569,7.31,485,2.25,130,0.6,65,0.3,0,0,0.0
