District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
종로구,125901,99261,47735,48.47,39574,40.18,9326,9.47,1754,1.78,89,0.09,0,0,0.0
중구,110181,87166,40482,46.84,36302,42.0,8450,9.77,1120,1.29,62,0.07,0,0,0.0
용산구,183614,143813,58705,41.14,67927,47.6,13794,9.66,2166,1.51,102,0.07,0,0,0.0
성동구,218725,170474,73651,43.52,76798,45.38,16634,9.83,1968,1.16,158,0.09,0,0,0.0
광진구,268057,206857,95186,46.4,86591,42.21,20736,10.1,2432,1.18,184,0.08,0,0,0.0
동대문구,248161,191905,88286,46.36,80984,42.53,18787,9.86,2165,1.13,183,0.09,0,0,0.0
중랑구,306541,231827,115311,50.1,93824,40.76,18443,8.01,2323,1.0,248,0.1,0,0,0.0
성북구,330107,256416,125682,49.38,101289,39.79,23647,9.29,3695,1.45,206,0.08,0,0,0.0
강북구,226254,167714,87060,52.29,65355,39.26,12084,7.25,1806,1.08,161,0.09,0,0,0.0
도봉구,242804,186365,91774,49.58,77264,41.74,13889,7.5,1996,1.07,159,0.08,0,0,0.0
노원구,381794,301519,147050,49.12,119745,40.0,28706,9.58,3573,1.19,277,0.09,0,0,0.0
은평구,365265,279613,142301,51.29,108378,39.06,22416,8.07,4068,1.46,271,0.09,0,0,0.0
서대문구,269110,185331,88994,48.39,74643,40.58,17043,9.26,3074,1.67,155,0.08,0,0,0.0
마포구,321302,260533,125049,48.41,101016,39.11,26948,10.43,5053,1.95,219,0.08,0,0,0.0
양천구,327335,258947,119534,46.46,112601,43.76,21928,8.52,2961,1.15,248,0.09,0,0,0.0
강서구,443047,342921,166480,48.93,137913,40.53,31507,9.26,3956,1.16,361,0.1,0,0,0.0
구로구,306219,240200,116081,48.67,99149,41.57,20296,8.51,2713,1.13,225,0.09,0,0,0.0
금천구,183269,138283,69048,50.35,53609,39.09,12857,9.37,1464,1.06,154,0.11,0,0,0.0
영등포구,298017,234492,102836,44.22,102212,43.96,24251,10.43,3015,1.29,196,0.08,0,0,0.0
동작구,292231,230201,101818,44.6,100375,43.96,23107,10.12,2783,1.21,200,0.08,0,0,0.0
관악구,395515,299435,141646,47.77,115299,38.88,34836,11.74,4357,1.46,363,0.12,0,0,0.0
서초구,311310,246372,77844,31.78,141505,57.78,22666,9.25,2716,1.1,142,0.05,0,0,0.0
강남구,422949,325409,97188,30.04,192263,59.43,30737,9.5,3106,0.96,167,0.05,0,0,0.0
송파구,507231,404108,162750,40.56,195807,48.8,38193,9.51,4155,1.03,326,0.08,0,0,0.0
강동구,374640,298069,132363,44.7,133607,45.12,26795,9.04,3063,1.03,266,0.08,0,0,0.0
