City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
4800,경상남도,4821,창원시의창구,동읍,관내사전투표,3326,3326,1809,1239,202,46,7,23,0
4800,경상남도,4821,창원시의창구,동읍,동읍제2투,1862,1205,315,790,80,13,1,6,657
4800,경상남도,4821,창원시의창구,동읍,동읍제4투,2297,1722,686,881,114,24,2,15,575
4800,경상남도,4821,창원시의창구,동읍,동읍제5투,2691,1818,570,1087,115,33,4,9,873
4800,경상남도,4821,창원시의창구,동읍,동읍제6투,1100,757,147,563,34,5,1,7,343
4800,경상남도,4821,창원시의창구,동읍,동읍제7투,1025,695,142,516,27,8,0,2,330
4800,경상남도,4821,창원시의창구,북면,관내사전투표,6782,6782,3906,2210,531,90,6,39,0
4800,경상남도,4821,창원시의창구,북면,북면제5투,2160,1529,446,958,98,17,1,9,631
4800,경상남도,4821,창원시의창구,북면,북면제9투,771,561,116,421,17,2,0,5,210
4800,경상남도,4821,창원시의창구,북면,북면제10투,2325,1653,580,853,172,26,1,21,672
4800,경상남도,4821,창원시의창구,대산면,관내사전투표,1532,1532,830,589,88,11,1,13,0
4800,경상남도,4821,창원시의창구,대산면,대산면제1투,1195,802,204,554,29,7,2,6,393
4800,경상남도,4821,창원시의창구,대산면,대산면제2투,2179,1297,363,836,67,16,3,12,882
4800,경상남도,4821,창원시의창구,대산면,대산면제3투,845,567,173,355,25,12,0,2,278
4800,경상남도,4821,창원시의창구,의창동,관내사전투표,5840,5840,2895,2421,414,65,5,40,0
4800,경상남도,4821,창원시의창구,의창동,의창동제7투,1642,1207,342,786,61,7,1,10,435
4800,경상남도,4821,창원시의창구,의창동,의창동제8투,1437,1075,307,680,67,10,1,10,362
4800,경상남도,4821,창원시의창구,의창동,의창동제10투,3176,2694,911,1499,249,23,4,8,482
4800,경상남도,4821,창원시의창구,팔룡동,관내사전투표,5352,5352,2751,2028,474,59,5,35,0
4800,경상남도,4821,창원시의창구,팔룡동,팔룡동제1투,2145,1498,388,972,109,17,1,11,647
4800,경상남도,4821,창원시의창구,팔룡동,팔룡동제2투,2048,1249,310,804,97,22,2,14,799
4800,경상남도,4821,창원시의창구,팔룡동,팔룡동제3투,2687,1764,491,1116,121,23,3,10,923
4800,경상남도,4821,창원시의창구,팔룡동,팔룡동제4투,2666,1975,687,1027,201,39,3,18,691
4800,경상남도,4821,창원시의창구,명곡동,관내사전투표,7162,7162,3830,2635,558,84,6,49,0
4800,경상남도,4821,창원시의창구,명곡동,명곡동제4투,1970,1259,381,757,93,19,2,7,711
4800,경상남도,4821,창원시의창구,명곡동,명곡동제5투,2839,2293,627,1416,213,24,1,12,546
4800,경상남도,4821,창원시의창구,명곡동,명곡동제6투,1984,1366,391,866,89,9,1,10,618
4800,경상남도,4821,창원시의창구,명곡동,명곡동제7투,2309,1622,380,1101,113,10,4,14,687
4800,경상남도,4821,창원시의창구,명곡동,명곡동제8투,2139,1446,369,940,104,18,1,14,693
4800,경상남도,4821,창원시의창구,명곡동,명곡동제9투,2150,1459,417,938,86,10,1,7,691
4800,경상남도,4821,창원시의창구,봉림동,관내사전투표,4557,4557,2411,1709,344,54,3,36,0
4800,경상남도,4821,창원시의창구,봉림동,봉림동제2투,2419,1693,486,1060,120,15,1,11,726
4800,경상남도,4821,창원시의창구,봉림동,봉림동제3투,2209,1448,388,928,108,14,2,8,761
4800,경상남도,4821,창원시의창구,봉림동,봉림동제4투,2159,1451,441,871,111,16,1,11,708
4800,경상남도,4821,창원시의창구,봉림동,봉림동제6투,3939,2671,680,1663,290,18,1,19,1268
4800,경상남도,4821,창원시의창구,봉림동,봉림동제7투,2584,1758,475,1101,145,17,1,19,826
4800,경상남도,4822,창원시성산구,반송동,관내사전투표,6831,6831,3959,2178,537,108,6,43,0
4800,경상남도,4822,창원시성산구,반송동,반송동제1투,1872,1533,462,931,115,18,2,5,339
4800,경상남도,4822,창원시성산구,반송동,반송동제3투,1904,1528,521,808,164,24,1,10,376
4800,경상남도,4822,창원시성산구,반송동,반송동제4투,1971,1595,563,862,133,28,2,7,376
4800,경상남도,4822,창원시성산구,중앙동,중앙동제1투,2283,1314,329,831,132,9,2,11,969
4800,경상남도,4822,창원시성산구,용지동,관내사전투표,4474,4474,2474,1361,504,81,3,51,0
4800,경상남도,4822,창원시성산구,용지동,용지동제1투,3482,2677,827,1518,279,31,0,22,805
4800,경상남도,4822,창원시성산구,용지동,용지동제2투,2376,1682,409,1068,170,14,1,20,694
4800,경상남도,4822,창원시성산구,용지동,용지동제4투,2103,1462,441,888,109,15,3,6,641
4800,경상남도,4822,창원시성산구,용지동,용지동제5투,3158,2173,637,1313,174,29,3,17,985
4800,경상남도,4822,창원시성산구,상남동,관내사전투표,6434,6434,3716,1971,606,89,6,46,0
4800,경상남도,4822,창원시성산구,상남동,상남동제2투,1873,1315,411,746,121,20,2,15,558
4800,경상남도,4822,창원시성산구,사파동,사파동제1투,3214,2264,763,1248,196,34,3,20,950
4800,경상남도,4822,창원시성산구,사파동,사파동제2투,2264,1634,472,996,131,17,0,18,630
4800,경상남도,4822,창원시성산구,사파동,사파동제5투,2695,1972,642,1128,155,38,2,7,723
4800,경상남도,4822,창원시성산구,사파동,사파동제10투,2162,1728,725,833,126,35,0,9,434
4800,경상남도,4822,창원시성산구,가음정동,관내사전투표,6671,6671,4115,1858,551,98,0,49,0
4800,경상남도,4822,창원시성산구,가음정동,가음정동제3투,2690,2132,747,1126,195,42,5,17,558
4800,경상남도,4822,창원시성산구,성주동,관내사전투표,3878,3878,2366,1072,341,69,8,22,0
4800,경상남도,4822,창원시성산구,성주동,성주동제1투,2879,2234,670,1276,237,29,2,20,645
4800,경상남도,4822,창원시성산구,성주동,성주동제3투,2389,1710,678,861,135,24,3,9,679
4800,경상남도,4822,창원시성산구,성주동,성주동제6투,2305,1854,624,1009,172,33,1,15,451
4800,경상남도,4822,창원시성산구,웅남동,관내사전투표,1755,1755,949,605,155,29,2,15,0
4800,경상남도,4822,창원시성산구,웅남동,웅남동제1투,852,564,125,395,38,1,1,4,288
4800,경상남도,4822,창원시성산구,웅남동,웅남동제2투,1574,1164,377,659,99,19,4,6,410
4800,경상남도,4822,창원시성산구,웅남동,웅남동제3투,1402,1019,286,650,59,9,0,15,383
4800,경상남도,4822,창원시성산구,웅남동,웅남동제4투,445,320,60,212,40,2,1,5,125
4800,경상남도,4823,창원시마산합포구,구산면,관내사전투표,662,662,245,379,27,6,1,4,0
4800,경상남도,4823,창원시마산합포구,구산면,구산면제1투,946,649,105,510,19,4,3,8,297
4800,경상남도,4823,창원시마산합포구,구산면,구산면제2투,1692,1148,170,917,29,6,1,25,544
4800,경상남도,4823,창원시마산합포구,진동면,관내사전투표,2668,2668,1320,1168,137,17,1,25,0
4800,경상남도,4823,창원시마산합포구,진동면,진동면제1투,704,524,90,405,15,7,1,6,180
4800,경상남도,4823,창원시마산합포구,진북면,관내사전투표,653,653,271,345,26,5,0,6,0
4800,경상남도,4823,창원시마산합포구,진북면,진북면제1투,1477,953,141,773,22,6,1,10,524
4800,경상남도,4823,창원시마산합포구,진전면,관내사전투표,747,747,251,433,40,9,2,12,0
4800,경상남도,4823,창원시마산합포구,진전면,진전면제1투,1256,826,132,659,23,7,0,5,430
4800,경상남도,4823,창원시마산합포구,현동,관내사전투표,3319,3319,1768,1284,214,30,3,20,0
4800,경상남도,4823,창원시마산합포구,현동,현동제1투,2098,1552,517,917,94,10,2,12,546
4800,경상남도,4823,창원시마산합포구,가포동,관내사전투표,1468,1468,784,511,145,18,0,10,0
4800,경상남도,4823,창원시마산합포구,가포동,가포동투표소,2762,1840,504,1108,181,22,2,23,922
4800,경상남도,4823,창원시마산합포구,월영동,관내사전투표,6847,6847,3440,2814,476,69,8,40,0
4800,경상남도,4823,창원시마산합포구,월영동,월영동제1투,1777,1062,200,749,92,13,2,6,715
4800,경상남도,4823,창원시마산합포구,월영동,월영동제2투,1471,975,219,703,38,9,3,3,496
