City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
5100,세종특별자치시,5101,세종특별자치시,조치원읍,조치원읍제3투,1999,1215,445,668,81,8,1,12,784
5100,세종특별자치시,5101,세종특별자치시,연동면,관내사전투표,964,964,571,308,68,8,2,7,0
5100,세종특별자치시,5101,세종특별자치시,금남면,관내사전투표,2073,2073,1191,709,137,14,2,20,0
5100,세종특별자치시,5101,세종특별자치시,장군면,관내사전투표,1533,1533,954,475,91,4,0,9,0
5100,세종특별자치시,5101,세종특별자치시,장군면,장군면제1투,1632,892,293,513,71,6,0,9,740
5100,세종특별자치시,5101,세종특별자치시,장군면,장군면제3투,392,256,79,157,16,1,1,2,136
5100,세종특별자치시,5101,세종특별자치시,연서면,연서면제4투,2177,1290,433,728,95,11,3,20,887
5100,세종특별자치시,5101,세종특별자치시,전의면,관내사전투표,1634,1634,974,522,91,12,5,30,0
5100,세종특별자치시,5101,세종특별자치시,소정면,관내사전투표,654,654,354,253,35,8,0,4,0
5100,세종특별자치시,5101,세종특별자치시,소정면,소정면투표소,1127,682,182,453,32,8,2,5,445
5100,세종특별자치시,5101,세종특별자치시,한솔동,관내사전투표,3922,3922,2838,721,301,45,1,16,0
5100,세종특별자치시,5101,세종특별자치시,도담동,관내사전투표,6273,6273,4277,1301,589,66,5,35,0
5100,세종특별자치시,5101,세종특별자치시,도담동,도담동제2투,1844,1275,464,673,95,25,1,17,569
5100,세종특별자치시,5101,세종특별자치시,아름동,관내사전투표,5799,5799,4156,1005,529,70,3,36,0
5100,세종특별자치시,5101,세종특별자치시,아름동,아름동제3투,2474,1859,916,757,146,22,1,17,615
5100,세종특별자치시,5101,세종특별자치시,종촌동,종촌동제1투,2391,1700,850,658,162,19,2,9,691
5100,세종특별자치시,5101,세종특별자치시,종촌동,종촌동제3투,2407,1927,977,748,164,20,3,15,480
5100,세종특별자치시,5101,세종특별자치시,종촌동,종촌동제5투,2281,1606,709,718,152,19,1,7,675
5100,세종특별자치시,5101,세종특별자치시,고운동,고운동제3투,2076,1437,695,609,110,14,1,8,639
5100,세종특별자치시,5101,세종특별자치시,보람동,보람동제3투,2886,2152,897,961,239,31,5,19,734
5100,세종특별자치시,5101,세종특별자치시,새롬동,새롬동제1투,1974,1345,540,630,150,17,0,8,629
5100,세종특별자치시,5101,세종특별자치시,새롬동,새롬동제2투,2874,2231,1013,962,224,18,2,12,643
5100,세종특별자치시,5101,세종특별자치시,새롬동,새롬동제3투,2964,2273,1111,919,192,31,3,17,691
5100,세종특별자치시,5101,세종특별자치시,소담동,관내사전투표,5877,5877,4146,1076,547,69,1,38,0
5100,세종특별자치시,5101,세종특별자치시,소담동,소담동제2투,2402,1808,857,737,187,20,0,7,594
5100,세종특별자치시,5101,세종특별자치시,다정동,관내사전투표,6230,6230,4354,1168,592,82,3,31,0
5100,세종특별자치시,5101,세종특별자치시,다정동,다정동제2투,2749,1895,822,814,210,32,2,15,854
5100,세종특별자치시,5101,세종특별자치시,다정동,다정동제3투,3223,2446,1132,1042,232,28,2,10,777
5100,세종특별자치시,5101,세종특별자치시,다정동,다정동제4투,2643,1903,756,927,183,22,1,14,740
5100,세종특별자치시,5101,세종특별자치시,해밀동,관내사전투표,4192,4192,3040,676,408,44,2,22,0
5100,세종특별자치시,5101,세종특별자치시,해밀동,해밀동제1투,3624,2643,1302,984,288,45,3,21,981
5100,세종특별자치시,5101,세종특별자치시,반곡동,관내사전투표,5663,5663,3993,964,593,75,3,35,0
5100,세종특별자치시,5101,세종특별자치시,반곡동,반곡동제1투,3209,2386,1133,933,256,39,1,24,823
5100,세종특별자치시,5101,세종특별자치시,반곡동,반곡동제2투,2964,1968,830,828,254,31,1,24,996
5100,세종특별자치시,5101,세종특별자치시,어진동,관내사전투표,3843,3843,2522,728,484,64,6,39,0
5100,세종특별자치시,5101,세종특별자치시,어진동,어진동제2투,2711,1945,845,785,260,37,1,17,766
5100,세종특별자치시,5101,세종특별자치시,나성동,나성동제1투,2592,1875,831,779,226,24,1,14,717
5100,세종특별자치시,5101,세종특별자치시,나성동,나성동제2투,2558,1728,783,711,193,32,3,6,830
