City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
4700,경상북도,4701,포항시북구,흥해읍,관내사전투표,6973,6973,2860,3415,584,66,3,45,0
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제1투,1357,871,94,754,18,3,0,2,486
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제2투,1245,892,120,736,27,6,0,3,353
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제3투,1194,905,100,765,25,6,4,5,289
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제4투,1299,883,95,757,23,2,0,6,416
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제5투,1451,1021,161,795,46,11,1,7,430
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제6투,1969,1352,149,1113,61,13,1,15,617
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제7투,706,493,42,438,11,1,0,1,213
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제8투,3446,2407,543,1637,189,28,1,9,1039
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제9투,1846,1277,244,938,72,15,2,6,569
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제10투,2900,2042,328,1561,127,15,1,10,858
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제11투,2550,1949,519,1283,116,21,5,5,601
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제12투,3902,2982,827,1823,294,23,0,15,920
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제13투,4238,3192,981,1884,264,46,2,15,1046
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제14투,3147,2613,754,1528,283,33,4,11,534
4700,경상북도,4701,포항시북구,흥해읍,흥해읍제15투,4151,3247,792,2051,346,36,5,17,904
4700,경상북도,4701,포항시북구,신광면,관내사전투표,558,558,165,356,23,7,2,5,0
4700,경상북도,4701,포항시북구,신광면,신광면제1투,834,598,60,520,14,1,0,3,236
4700,경상북도,4701,포항시북구,신광면,신광면제2투,474,348,36,297,11,0,1,3,126
4700,경상북도,4701,포항시북구,신광면,신광면제3투,589,421,38,373,9,0,0,1,168
4700,경상북도,4701,포항시북구,청하면,관내사전투표,1307,1307,400,790,63,23,2,29,0
4700,경상북도,4701,포항시북구,청하면,청하면제1투,1475,981,112,820,38,4,1,6,494
4700,경상북도,4701,포항시북구,청하면,청하면제2투,970,673,59,589,11,1,1,12,297
4700,경상북도,4701,포항시북구,청하면,청하면제3투,422,299,35,248,10,1,0,5,123
4700,경상북도,4701,포항시북구,송라면,관내사전투표,805,805,198,549,26,5,5,22,0
4700,경상북도,4701,포항시북구,송라면,송라면투표소,1375,909,76,802,22,4,1,4,466
4700,경상북도,4701,포항시북구,기계면,관내사전투표,1581,1581,391,1105,55,10,0,20,0
