City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
5300,전북특별자치도,5301,전주시완산구,중앙동,관내사전투표,4035,4035,3518,311,167,25,3,11,0
5300,전북특별자치도,5301,전주시완산구,중앙동,중앙동제1투,965,577,420,109,40,4,1,3,388
5300,전북특별자치도,5301,전주시완산구,중앙동,중앙동제2투,1285,802,452,264,65,10,3,8,483
5300,전북특별자치도,5301,전주시완산구,중앙동,중앙동제3투,1668,1083,753,212,98,11,2,7,585
5300,전북특별자치도,5301,전주시완산구,풍남동,관내사전투표,2391,2391,2030,187,136,19,7,12,0
5300,전북특별자치도,5301,전주시완산구,풍남동,풍남동제1투,778,453,305,123,18,6,0,1,325
5300,전북특별자치도,5301,전주시완산구,풍남동,풍남동제2투,903,548,410,115,19,1,0,3,355
5300,전북특별자치도,5301,전주시완산구,노송동,관내사전투표,2822,2822,2522,178,90,15,5,12,0
5300,전북특별자치도,5301,전주시완산구,노송동,노송동제1투,969,597,421,135,33,6,0,2,372
5300,전북특별자치도,5301,전주시완산구,노송동,노송동제2투,366,192,134,47,8,1,0,2,174
5300,전북특별자치도,5301,전주시완산구,노송동,노송동제3투,1339,914,701,127,66,11,2,7,425
5300,전북특별자치도,5301,전주시완산구,노송동,노송동제4투,986,600,475,91,23,5,2,4,386
5300,전북특별자치도,5301,전주시완산구,노송동,노송동제5투,826,472,360,80,24,3,3,2,354
5300,전북특별자치도,5301,전주시완산구,완산동,관내사전투표,1989,1989,1756,115,93,14,2,9,0
5300,전북특별자치도,5301,전주시완산구,완산동,완산동제1투,1155,766,619,111,24,5,3,4,389
5300,전북특별자치도,5301,전주시완산구,완산동,완산동제2투,1119,663,449,159,44,5,2,4,456
5300,전북특별자치도,5301,전주시완산구,동서학동,관내사전투표,2493,2493,2174,164,113,29,4,9,0
5300,전북특별자치도,5301,전주시완산구,동서학동,동서학동제1투,1064,665,470,134,51,8,2,0,399
5300,전북특별자치도,5301,전주시완산구,동서학동,동서학동제2투,497,273,211,37,19,4,0,2,224
5300,전북특별자치도,5301,전주시완산구,동서학동,동서학동제3투,912,568,445,99,16,6,1,1,344
5300,전북특별자치도,5301,전주시완산구,서서학동,관내사전투표,3440,3440,3087,219,94,21,3,16,0
5300,전북특별자치도,5301,전주시완산구,서서학동,서서학동제1투,918,481,328,107,26,11,0,9,437
5300,전북특별자치도,5301,전주시완산구,서서학동,서서학동제2투,1257,757,581,109,40,12,1,14,500
5300,전북특별자치도,5301,전주시완산구,서서학동,서서학동제3투,1035,594,434,117,37,4,0,2,441
5300,전북특별자치도,5301,전주시완산구,중화산1동,관내사전투표,5120,5119,4486,318,251,33,4,27,1
5300,전북특별자치도,5301,전주시완산구,중화산1동,중화산1동제1투,1985,1108,732,271,86,14,1,4,877
5300,전북특별자치도,5301,전주시완산구,중화산1동,중화산1동제2투,1895,1190,801,281,88,13,1,6,705
5300,전북특별자치도,5301,전주시완산구,중화산1동,중화산1동제3투,1651,1125,784,256,69,7,3,6,526
5300,전북특별자치도,5301,전주시완산구,중화산2동,관내사전투표,5027,5027,4331,329,291,47,6,23,0
5300,전북특별자치도,5301,전주시완산구,중화산2동,중화산2동제1투,1955,1381,907,311,132,15,3,13,574
5300,전북특별자치도,5301,전주시완산구,중화산2동,중화산2동제2투,2327,1117,805,201,94,9,1,7,1210
5300,전북특별자치도,5301,전주시완산구,중화산2동,중화산2동제3투,2223,1370,989,246,107,14,3,11,853
5300,전북특별자치도,5301,전주시완산구,중화산2동,중화산2동제4투,1523,978,721,182,62,7,1,5,545
5300,전북특별자치도,5301,전주시완산구,평화1동,관내사전투표,5102,5102,4571,319,153,31,5,23,0
5300,전북특별자치도,5301,전주시완산구,평화1동,평화1동제1투,1558,849,618,174,40,15,1,1,709
5300,전북특별자치도,5301,전주시완산구,평화1동,평화1동제2투,1568,763,542,165,40,8,2,6,805
5300,전북특별자치도,5301,전주시완산구,평화1동,평화1동제3투,1780,1148,845,205,82,6,3,7,632
5300,전북특별자치도,5301,전주시완산구,평화2동,관내사전투표,10407,10407,9345,554,407,58,9,34,0
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제1투,1413,846,584,189,55,11,2,5,567
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제2투,2114,1374,1014,258,84,9,2,7,740
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제3투,1323,801,624,127,32,9,0,9,522
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제4투,2309,1756,1386,233,98,25,4,10,553
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제5투,780,537,452,56,22,6,0,1,243
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제6투,2194,1631,1261,248,98,14,1,9,563
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제7투,1604,1143,868,194,60,18,0,3,461
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제8투,2612,1887,1516,253,85,20,1,12,725
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제9투,2620,2013,1593,270,112,23,4,11,607
5300,전북특별자치도,5301,전주시완산구,평화2동,평화2동제10투,1591,1259,998,154,80,17,1,9,332
5300,전북특별자치도,5301,전주시완산구,서신동,관내사전투표,9684,9679,8578,546,444,64,5,42,5
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제1투,1283,839,590,169,66,9,0,5,444
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제2투,1361,752,536,127,75,4,1,9,609
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제3투,910,626,421,139,53,8,0,5,284
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제4투,2648,1990,1451,355,146,24,3,11,658
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제5투,1522,960,710,151,69,20,2,8,562
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제6투,1124,844,656,122,39,14,2,11,280
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제7투,1319,973,769,118,70,6,0,10,346
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제8투,2096,1600,1187,264,116,16,3,14,496
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제9투,1991,1581,1228,208,125,13,1,6,410
5300,전북특별자치도,5301,전주시완산구,서신동,서신동제10투,2967,1901,1385,286,205,16,2,7,1066
5300,전북특별자치도,5301,전주시완산구,삼천1동,관내사전투표,3671,3671,3256,252,124,17,4,18,0
5300,전북특별자치도,5301,전주시완산구,삼천1동,삼천1동제1투,997,537,372,117,33,7,1,7,460
5300,전북특별자치도,5301,전주시완산구,삼천1동,삼천1동제2투,2174,1497,1121,279,86,8,0,3,677
5300,전북특별자치도,5301,전주시완산구,삼천1동,삼천1동제3투,1301,790,561,149,67,6,1,6,511
5300,전북특별자치도,5301,전주시완산구,삼천2동,관내사전투표,4503,4503,4055,259,149,19,4,17,0
5300,전북특별자치도,5301,전주시완산구,삼천2동,삼천2동제1투,1213,659,473,122,45,9,0,10,554
5300,전북특별자치도,5301,전주시완산구,삼천2동,삼천2동제2투,937,552,422,82,33,12,0,3,385
5300,전북특별자치도,5301,전주시완산구,삼천2동,삼천2동제4투,1395,814,583,163,53,8,1,6,581
