City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
5200,강원특별자치도,5201,춘천시,신북읍,관내사전투표,3426,3426,1996,1101,259,46,2,22,0
5200,강원특별자치도,5201,춘천시,신북읍,신북읍제1투,1030,663,172,430,47,9,2,3,367
5200,강원특별자치도,5201,춘천시,신북읍,신북읍제3투,1123,721,244,422,36,5,1,13,402
5200,강원특별자치도,5201,춘천시,동면,관내사전투표,2404,2404,1489,738,142,21,2,12,0
5200,강원특별자치도,5201,춘천시,동면,동면제1투,2371,1771,711,900,136,18,0,6,600
5200,강원특별자치도,5201,춘천시,동면,동면제3투,177,123,20,98,1,0,1,3,54
5200,강원특별자치도,5201,춘천시,동면,동면제5투,3226,2228,902,1110,167,34,2,13,998
5200,강원특별자치도,5201,춘천시,동산면,관내사전투표,516,516,290,166,54,3,0,3,0
5200,강원특별자치도,5201,춘천시,신동면,관내사전투표,1901,1901,1137,544,186,17,4,13,0
5200,강원특별자치도,5201,춘천시,동내면,관내사전투표,5353,5352,3391,1424,434,54,6,43,1
5200,강원특별자치도,5201,춘천시,동내면,동내면제2투,3727,2424,870,1320,197,20,2,15,1303
5200,강원특별자치도,5201,춘천시,동내면,동내면제3투,2430,1814,725,879,173,27,2,8,616
5200,강원특별자치도,5201,춘천시,동내면,동내면제4투,2507,1771,707,859,168,23,2,12,736
5200,강원특별자치도,5201,춘천시,남면,관내사전투표,362,362,170,154,30,3,2,3,0
5200,강원특별자치도,5201,춘천시,남산면,관내사전투표,1018,1018,574,367,65,8,0,4,0
5200,강원특별자치도,5201,춘천시,서면,관내사전투표,1048,1048,590,353,89,9,1,6,0
5200,강원특별자치도,5201,춘천시,서면,서면제1투,753,496,119,341,29,4,0,3,257
5200,강원특별자치도,5201,춘천시,서면,서면제2투,984,655,152,462,32,2,1,6,329
5200,강원특별자치도,5201,춘천시,사북면,관내사전투표,371,371,219,119,27,3,0,3,0
5200,강원특별자치도,5201,춘천시,북산면,관내사전투표,292,292,140,139,12,1,0,0,0
5200,강원특별자치도,5201,춘천시,북산면,북산면제2투,136,101,19,78,1,1,0,2,35
5200,강원특별자치도,5201,춘천시,소양동,관내사전투표,3248,3248,1949,967,274,33,3,22,0
5200,강원특별자치도,5201,춘천시,소양동,소양동제2투,2843,1901,646,1083,144,16,0,12,942
5200,강원특별자치도,5201,춘천시,소양동,소양동제3투,487,270,62,176,22,2,2,6,217
5200,강원특별자치도,5201,춘천시,교동,관내사전투표,1757,1756,985,484,247,21,1,18,1
5200,강원특별자치도,5201,춘천시,조운동,관내사전투표,2065,2065,1209,601,204,28,2,21,0
5200,강원특별자치도,5201,춘천시,약사명동,관내사전투표,1773,1773,987,606,146,22,1,11,0
