City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
4600,전라남도,4601,목포시,용당1동,관내사전투표,3984,3984,3687,182,83,13,6,13,0
4600,전라남도,4601,목포시,용당1동,용당1동제1투,1085,610,469,103,23,10,2,3,475
4600,전라남도,4601,목포시,용당1동,용당1동제2투,809,368,297,52,12,6,0,1,441
4600,전라남도,4601,목포시,용당1동,용당1동제3투,1003,594,481,74,30,4,0,5,409
4600,전라남도,4601,목포시,용당1동,용당1동제4투,980,530,417,86,19,6,1,1,450
4600,전라남도,4601,목포시,용당2동,관내사전투표,2505,2505,2304,120,53,15,2,11,0
4600,전라남도,4601,목포시,용당2동,용당2동제1투,1055,503,400,71,17,6,4,5,552
4600,전라남도,4601,목포시,용당2동,용당2동제2투,732,387,313,51,20,1,0,2,345
4600,전라남도,4601,목포시,연동,관내사전투표,1695,1695,1607,50,22,6,4,6,0
4600,전라남도,4601,목포시,연동,연동제1투,691,312,235,62,11,3,0,1,379
4600,전라남도,4601,목포시,연동,연동제2투,932,505,433,51,14,1,2,4,427
4600,전라남도,4601,목포시,산정동,관내사전투표,3098,3098,2851,139,79,21,1,7,0
4600,전라남도,4601,목포시,산정동,산정동제1투,1548,802,589,152,42,10,1,8,746
4600,전라남도,4601,목포시,산정동,산정동제2투,1669,1096,888,149,42,11,1,5,573
4600,전라남도,4601,목포시,연산동,관내사전투표,3026,3026,2766,114,93,18,4,31,0
4600,전라남도,4601,목포시,연산동,연산동제1투,1443,977,831,77,53,8,0,8,466
4600,전라남도,4601,목포시,연산동,연산동제2투,1724,988,754,160,53,11,5,5,736
4600,전라남도,4601,목포시,원산동,관내사전투표,3901,3901,3600,151,112,24,1,13,0
4600,전라남도,4601,목포시,원산동,원산동제1투,724,368,307,33,22,2,1,3,356
4600,전라남도,4601,목포시,원산동,원산동제2투,1151,651,507,96,34,12,1,1,500
4600,전라남도,4601,목포시,원산동,원산동제3투,1431,794,650,98,27,9,1,9,637
4600,전라남도,4601,목포시,원산동,원산동제4투,1158,732,608,85,28,10,0,1,426
4600,전라남도,4601,목포시,대성동,관내사전투표,2399,2399,2215,92,73,8,0,11,0
4600,전라남도,4601,목포시,대성동,대성동투표소,1610,888,686,141,49,6,3,3,722
4600,전라남도,4601,목포시,목원동,관내사전투표,2884,2884,2608,161,84,21,1,9,0
4600,전라남도,4601,목포시,목원동,목원동제1투,848,478,398,63,9,5,0,3,370
4600,전라남도,4601,목포시,목원동,목원동제2투,791,384,275,78,23,4,2,2,407
4600,전라남도,4601,목포시,목원동,목원동제3투,877,384,275,91,11,3,0,4,493
4600,전라남도,4601,목포시,동명동,관내사전투표,2108,2108,1966,86,33,15,5,3,0
4600,전라남도,4601,목포시,동명동,동명동제1투,827,391,315,58,13,2,1,2,436
4600,전라남도,4601,목포시,동명동,동명동제2투,738,340,277,51,11,1,0,0,398
4600,전라남도,4601,목포시,삼학동,관내사전투표,3252,3252,3047,113,73,10,1,8,0
4600,전라남도,4601,목포시,삼학동,삼학동제1투,1087,605,488,78,31,2,2,4,482
4600,전라남도,4601,목포시,삼학동,삼학동제2투,874,489,397,64,19,7,0,2,385
4600,전라남도,4601,목포시,만호동,관내사전투표,1347,1347,1236,59,29,8,1,14,0
4600,전라남도,4601,목포시,만호동,만호동투표소,869,323,248,58,8,5,0,4,546
4600,전라남도,4601,목포시,유달동,관내사전투표,2025,2025,1862,86,46,19,1,11,0
4600,전라남도,4601,목포시,유달동,유달동제1투,487,215,171,35,7,0,0,2,272
4600,전라남도,4601,목포시,유달동,유달동제2투,503,236,185,31,9,4,1,6,267
4600,전라남도,4601,목포시,유달동,유달동제3투,330,176,138,28,9,1,0,0,154
4600,전라남도,4601,목포시,유달동,유달동제4투,93,70,58,9,2,0,0,1,23
4600,전라남도,4601,목포시,유달동,유달동제5투,93,53,53,0,0,0,0,0,40
4600,전라남도,4601,목포시,죽교동,관내사전투표,1557,1557,1413,61,58,12,2,11,0
4600,전라남도,4601,목포시,죽교동,죽교동제1투,429,204,158,39,6,0,0,1,225
4600,전라남도,4601,목포시,죽교동,죽교동제2투,672,319,245,59,11,0,1,3,353
4600,전라남도,4601,목포시,북항동,관내사전투표,4416,4416,4087,153,130,27,3,16,0
4600,전라남도,4601,목포시,북항동,북항동제1투,1592,900,683,145,54,10,0,8,692
4600,전라남도,4601,목포시,북항동,북항동제2투,787,383,296,59,17,8,0,3,404
4600,전라남도,4601,목포시,북항동,북항동제3투,701,389,310,56,14,6,1,2,312
4600,전라남도,4601,목포시,용해동,관내사전투표,5516,5516,5079,206,157,40,7,27,0
4600,전라남도,4601,목포시,용해동,용해동제1투,1244,641,486,101,38,8,2,6,603
4600,전라남도,4601,목포시,용해동,용해동제2투,1366,819,674,91,36,11,1,6,547
4600,전라남도,4601,목포시,용해동,용해동제3투,1521,831,653,110,45,15,2,6,690
4600,전라남도,4601,목포시,용해동,용해동제4투,1541,1012,870,86,46,6,0,4,529
4600,전라남도,4601,목포시,이로동,관내사전투표,3245,3245,2956,157,99,21,1,11,0
4600,전라남도,4601,목포시,이로동,이로동제1투,851,507,406,75,18,5,0,3,344
4600,전라남도,4601,목포시,이로동,이로동제2투,1349,811,639,121,41,6,1,3,538
4600,전라남도,4601,목포시,이로동,이로동제3투,1466,1009,814,125,50,13,1,6,457
4600,전라남도,4601,목포시,상동,관내사전투표,4903,4903,4496,238,120,23,3,23,0
4600,전라남도,4601,목포시,상동,상동제1투,1070,542,419,87,26,4,3,3,528
4600,전라남도,4601,목포시,상동,상동제2투,855,331,250,51,18,6,1,5,524
4600,전라남도,4601,목포시,상동,상동제3투,1561,1177,982,121,55,12,0,7,384
4600,전라남도,4601,목포시,상동,상동제4투,2618,1825,1521,192,82,22,2,6,793
4600,전라남도,4601,목포시,상동,상동제5투,2055,1343,1097,162,68,10,1,5,712
4600,전라남도,4601,목포시,하당동,관내사전투표,5304,5304,4824,222,201,38,2,17,0
4600,전라남도,4601,목포시,하당동,하당동제1투,1427,557,418,94,35,6,1,3,870
4600,전라남도,4601,목포시,하당동,하당동제2투,2276,1102,799,175,103,13,3,9,1174
4600,전라남도,4601,목포시,하당동,하당동제3투,2160,1557,1264,179,95,11,3,5,603
4600,전라남도,4601,목포시,신흥동,관내사전투표,4698,4698,4298,211,137,35,2,15,0
4600,전라남도,4601,목포시,신흥동,신흥동제1투,1809,1021,792,157,62,7,0,3,788
4600,전라남도,4601,목포시,신흥동,신흥동제2투,1214,762,624,102,29,3,0,4,452
4600,전라남도,4601,목포시,신흥동,신흥동제3투,1559,1059,861,129,48,13,1,7,500
4600,전라남도,4601,목포시,신흥동,신흥동제4투,2146,1280,988,206,59,14,1,12,866
4600,전라남도,4601,목포시,삼향동,관내사전투표,3056,3056,2795,126,95,24,3,13,0
4600,전라남도,4601,목포시,삼향동,삼향동제1투,795,437,366,49,16,4,0,2,358
4600,전라남도,4601,목포시,삼향동,삼향동제2투,817,444,352,69,18,2,2,1,373
4600,전라남도,4601,목포시,옥암동,관내사전투표,5183,5183,4722,232,174,31,4,20,0
4600,전라남도,4601,목포시,옥암동,옥암동제1투,2054,1360,1078,193,61,13,1,14,694
4600,전라남도,4601,목포시,옥암동,옥암동제2투,1477,923,742,109,51,11,2,8,554
4600,전라남도,4601,목포시,부흥동,관내사전투표,4540,4540,4115,206,166,37,2,14,0
4600,전라남도,4601,목포시,부흥동,부흥동제1투,1042,527,385,91,39,4,0,8,515
4600,전라남도,4601,목포시,부흥동,부흥동제2투,583,340,262,52,16,3,1,6,243
4600,전라남도,4601,목포시,부흥동,부흥동제3투,1300,827,673,103,40,8,0,3,473
4600,전라남도,4601,목포시,부주동,관내사전투표,6095,6095,5502,303,214,45,5,26,0
4600,전라남도,4601,목포시,부주동,부주동제1투,1173,796,619,102,55,15,0,5,377
4600,전라남도,4601,목포시,부주동,부주동제2투,1521,798,594,133,47,15,0,9,723
4600,전라남도,4601,목포시,부주동,부주동제3투,2277,1380,1063,196,95,15,2,9,897
4600,전라남도,4601,목포시,부주동,부주동제4투,930,604,406,149,40,6,0,3,326
4600,전라남도,4601,목포시,부주동,부주동제5투,1444,1052,800,182,61,6,1,2,392
4600,전라남도,4602,여수시,돌산읍,관내사전투표,2104,2104,1931,107,37,12,1,16,0
4600,전라남도,4602,여수시,돌산읍,돌산읍제1투,848,411,338,56,10,1,1,5,437
