City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
4300,충청북도,4301,청주시상당구,낭성면,관내사전투표,743,743,366,318,29,9,1,20,0
4300,충청북도,4301,청주시상당구,낭성면,낭성면투표소,1205,819,156,623,29,6,0,5,386
4300,충청북도,4301,청주시상당구,미원면,관내사전투표,1458,1458,701,658,72,14,1,12,0
4300,충청북도,4301,청주시상당구,미원면,미원면제1투,896,477,137,320,15,1,2,2,419
4300,충청북도,4301,청주시상당구,미원면,미원면제2투,1149,659,190,441,16,7,0,5,490
4300,충청북도,4301,청주시상당구,미원면,미원면제3투,523,375,87,266,12,3,1,6,148
4300,충청북도,4301,청주시상당구,가덕면,관내사전투표,1102,1102,570,434,67,12,3,16,0
4300,충청북도,4301,청주시상당구,가덕면,가덕면제1투,1467,984,288,634,45,9,1,7,483
4300,충청북도,4301,청주시상당구,가덕면,가덕면제2투,720,452,144,280,18,5,1,4,268
4300,충청북도,4301,청주시상당구,남일면,관내사전투표,2084,2083,1208,719,125,21,0,10,1
4300,충청북도,4301,청주시상당구,남일면,남일면제1투,1678,1066,307,695,46,14,1,3,612
4300,충청북도,4301,청주시상당구,남일면,남일면제2투,1965,1254,380,784,74,8,1,7,711
4300,충청북도,4301,청주시상당구,문의면,관내사전투표,965,965,514,380,51,8,2,10,0
4300,충청북도,4301,청주시상당구,문의면,문의면제1투,1546,970,255,653,42,9,3,8,576
4300,충청북도,4301,청주시상당구,문의면,문의면제2투,553,371,106,249,11,2,1,2,182
4300,충청북도,4301,청주시상당구,중앙동,관내사전투표,1752,1752,1026,515,180,16,1,14,0
4300,충청북도,4301,청주시상당구,중앙동,중앙동제1투,2221,1448,429,867,123,18,0,11,773
4300,충청북도,4301,청주시상당구,중앙동,중앙동제2투,1585,1016,296,636,67,7,2,8,569
4300,충청북도,4301,청주시상당구,성안동,관내사전투표,2070,2070,1190,699,151,21,0,9,0
4300,충청북도,4301,청주시상당구,성안동,성안동제1투,2301,1398,380,881,110,15,2,10,903
4300,충청북도,4301,청주시상당구,성안동,성안동제2투,1700,1031,268,704,45,8,1,5,669
4300,충청북도,4301,청주시상당구,탑·대성동,관내사전투표,1869,1869,1041,687,109,21,1,10,0
