City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
3100,울산광역시,3101,중구,거소·선상투표,거소·선상투표,215,205,53,102,38,1,1,10,0
3100,울산광역시,3101,중구,관외사전투표,관외사전투표,14171,14169,6913,4882,2056,182,23,2,0
3100,울산광역시,3101,중구,재외투표,재외투표,719,572,374,127,59,7,0,147,0
3100,울산광역시,3101,중구,학성동,관내사전투표,2849,2849,1432,1188,181,26,3,0,0
3100,울산광역시,3101,중구,학성동,학성동제1투,2411,1647,366,1108,137,19,2,764,0
3100,울산광역시,3101,중구,학성동,학성동제2투,1377,951,219,660,56,6,2,426,0
3100,울산광역시,3101,중구,학성동,학성동제3투,1393,935,238,636,45,13,2,458,0
3100,울산광역시,3101,중구,학성동,학성동제4투,1477,982,224,688,55,5,2,495,0
3100,울산광역시,3101,중구,반구1동,관내사전투표,4022,4022,2254,1402,269,56,6,0,0
3100,울산광역시,3101,중구,반구1동,반구1동제1투,2109,1461,436,885,108,19,2,648,0
3100,울산광역시,3101,중구,반구1동,반구1동제2투,2211,1459,428,911,94,17,1,752,0
3100,울산광역시,3101,중구,반구1동,반구1동제3투,2688,1803,464,1197,115,15,4,885,0
3100,울산광역시,3101,중구,반구1동,반구1동제4투,2019,1427,487,809,110,14,0,592,0
3100,울산광역시,3101,중구,반구2동,관내사전투표,1929,1929,1004,749,145,18,1,0,0
3100,울산광역시,3101,중구,반구2동,반구2동제1투,1715,1112,237,772,77,16,1,603,0
3100,울산광역시,3101,중구,반구2동,반구2동제2투,1746,1206,321,769,97,12,0,540,0
3100,울산광역시,3101,중구,반구2동,반구2동제3투,1577,1105,302,693,83,9,1,472,0
3100,울산광역시,3101,중구,복산동,관내사전투표,3033,3033,1768,943,263,33,4,0,0
3100,울산광역시,3101,중구,복산동,복산동제1투,1512,1136,314,748,60,10,0,376,0
3100,울산광역시,3101,중구,복산동,복산동제2투,4119,3215,1097,1709,350,31,3,904,0
3100,울산광역시,3101,중구,복산동,복산동제3투,2100,1441,435,896,88,11,2,659,0
3100,울산광역시,3101,중구,복산동,복산동제4투,2484,1853,639,1012,164,21,3,631,0
3100,울산광역시,3101,중구,복산동,복산동제5투,1487,1037,293,666,56,11,1,450,0
3100,울산광역시,3101,중구,성안동,관내사전투표,4852,4852,3086,1331,354,53,1,0,0
3100,울산광역시,3101,중구,성안동,성안동제1투,2680,1743,592,992,129,15,2,937,0
3100,울산광역시,3101,중구,성안동,성안동제2투,2581,1697,485,1078,96,21,3,884,0
3100,울산광역시,3101,중구,성안동,성안동제3투,3000,2021,664,1186,144,14,2,979,0
3100,울산광역시,3101,중구,성안동,성안동제4투,2861,1901,652,1082,139,20,2,960,0
3100,울산광역시,3101,중구,중앙동,관내사전투표,2631,2631,1312,1028,246,25,4,0,0
3100,울산광역시,3101,중구,중앙동,중앙동제1투,2121,1408,279,1045,73,5,0,713,0
3100,울산광역시,3101,중구,중앙동,중앙동제2투,1910,1284,274,934,51,10,3,626,0
3100,울산광역시,3101,중구,중앙동,중앙동제3투,1448,944,200,663,67,5,1,504,0
3100,울산광역시,3101,중구,중앙동,중앙동제4투,1438,945,205,678,46,9,0,493,0
3100,울산광역시,3101,중구,우정동,관내사전투표,3598,3598,1910,1372,250,44,3,0,0
3100,울산광역시,3101,중구,우정동,우정동제1투,3454,2311,539,1566,163,24,0,1143,0
3100,울산광역시,3101,중구,우정동,우정동제2투,1582,1061,241,699,91,10,4,521,0
3100,울산광역시,3101,중구,우정동,우정동제3투,2979,2329,694,1421,168,24,3,650,0
3100,울산광역시,3101,중구,우정동,우정동제4투,2794,2200,620,1396,142,23,4,594,0
3100,울산광역시,3101,중구,태화동,관내사전투표,4543,4543,2723,1420,308,62,6,0,0
3100,울산광역시,3101,중구,태화동,태화동제1투,2065,1410,385,904,98,15,1,655,0
3100,울산광역시,3101,중구,태화동,태화동제2투,1982,1424,382,889,112,25,1,558,0
3100,울산광역시,3101,중구,태화동,태화동제3투,2536,1886,526,1202,122,19,2,650,0
3100,울산광역시,3101,중구,태화동,태화동제4투,2275,1854,648,1066,112,15,4,421,0
3100,울산광역시,3101,중구,태화동,태화동제5투,2257,1739,458,1141,113,11,1,518,0
3100,울산광역시,3101,중구,태화동,태화동제6투,2491,2057,731,1085,195,27,2,434,0
3100,울산광역시,3101,중구,태화동,태화동제7투,2403,1951,769,968,183,23,2,452,0
3100,울산광역시,3101,중구,태화동,태화동제8투,1893,1479,563,736,156,17,3,414,0
3100,울산광역시,3101,중구,다운동,관내사전투표,3716,3716,2080,1317,231,43,5,0,0
3100,울산광역시,3101,중구,다운동,다운동제1투,2640,1899,503,1237,118,24,2,741,0
3100,울산광역시,3101,중구,다운동,다운동제2투,2200,1483,368,1010,79,15,1,717,0
