City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
4900,제주특별자치도,4901,제주시,거소·선상투표,거소·선상투표,1090,1011,477,259,180,19,8,79,0
4900,제주특별자치도,4901,제주시,관외사전투표,관외사전투표,23460,23456,12621,6104,3975,381,36,4,0
4900,제주특별자치도,4901,제주시,재외투표,재외투표,3161,2018,1284,491,166,51,2,1143,0
4900,제주특별자치도,4901,제주시,한림읍,관내사전투표,5415,5415,3631,1257,412,75,4,0,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제1투,1068,662,241,365,33,16,1,406,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제2투,881,499,234,232,20,8,0,382,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제3투,1545,803,349,378,64,4,2,742,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제4투,576,367,196,150,15,4,0,209,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제5투,1082,614,219,359,26,7,1,468,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제6투,925,553,247,261,34,3,1,372,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제7투,1188,633,265,316,35,9,1,555,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제8투,804,535,222,255,35,14,0,269,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제9투,1357,695,327,308,43,10,3,662,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제10투,1142,582,236,298,40,4,0,560,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제11투,95,66,7,53,3,1,0,29,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제12투,399,243,100,122,17,2,1,156,0
4900,제주특별자치도,4901,제주시,한림읍,한림읍제13투,431,276,109,135,20,7,0,155,0
4900,제주특별자치도,4901,제주시,애월읍,관내사전투표,4972,4972,3502,1026,338,62,9,0,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제1투,1902,969,415,466,65,11,1,933,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제2투,900,574,268,262,24,14,2,326,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제3투,2229,1325,586,606,108,18,0,904,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제4투,2865,1856,885,767,160,22,1,1009,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제5투,962,669,343,267,39,10,2,293,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제6투,2991,1890,949,739,159,33,0,1101,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제7투,837,556,258,259,29,7,1,281,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제8투,1067,688,335,288,42,8,2,379,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제9투,919,584,246,283,38,11,2,335,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제10투,927,592,274,272,30,11,0,335,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제11투,3294,2074,1060,806,159,33,2,1220,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제12투,1205,794,412,316,45,12,2,411,0
4900,제주특별자치도,4901,제주시,애월읍,애월읍제13투,1043,673,360,262,36,6,3,370,0
4900,제주특별자치도,4901,제주시,구좌읍,관내사전투표,2958,2958,1909,793,181,53,5,0,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제1투,1679,1082,448,524,63,24,4,597,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제2투,1122,624,251,318,37,9,0,498,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제3투,708,363,135,186,29,4,2,345,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제4투,891,562,300,210,39,6,0,329,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제5투,1400,725,268,389,47,13,1,675,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제6투,955,529,215,277,30,7,0,426,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제7투,730,454,215,200,22,12,1,276,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제8투,503,324,132,168,16,7,0,179,0
4900,제주특별자치도,4901,제주시,구좌읍,구좌읍제9투,711,426,144,255,13,3,2,285,0
4900,제주특별자치도,4901,제주시,조천읍,관내사전투표,6252,6252,4223,1471,407,91,4,0,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제1투,2924,1833,850,778,148,38,4,1091,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제2투,1380,756,298,387,50,9,2,624,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제3투,1460,905,405,428,53,11,2,555,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제4투,1052,709,305,331,51,12,3,343,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제5투,871,557,255,261,33,4,2,314,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제6투,2157,1348,577,645,86,22,4,809,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제7투,1538,882,382,412,67,14,1,656,0
4900,제주특별자치도,4901,제주시,조천읍,조천읍제8투,2573,1535,649,706,137,27,2,1038,0
4900,제주특별자치도,4901,제주시,한경면,관내사전투표,1910,1909,1322,448,93,31,2,1,0
4900,제주특별자치도,4901,제주시,한경면,한경면제1투,579,398,184,181,25,5,1,181,0
4900,제주특별자치도,4901,제주시,한경면,한경면제2투,771,527,225,258,31,4,4,244,0
4900,제주특별자치도,4901,제주시,한경면,한경면제3투,1330,743,340,351,35,9,0,587,0
4900,제주특별자치도,4901,제주시,한경면,한경면제4투,1165,717,345,316,39,8,1,448,0
4900,제주특별자치도,4901,제주시,한경면,한경면제5투,1544,946,382,485,59,9,0,598,0
