City_Code,City_Name,District_Code,District_Name,Precinct,PollStation,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,국민의힘김문수_Votes,개혁신당이준석_Votes,민주노동당권영국_Votes,무소속송진호_Votes,Invalid_Votes,Abstentions
2900,광주광역시,2901,동구,거소·선상투표,거소·선상투표,268,261,192,32,26,2,0,7,0
2900,광주광역시,2901,동구,관외사전투표,관외사전투표,17402,17398,14617,981,1504,182,15,4,0
2900,광주광역시,2901,동구,재외투표,재외투표,432,368,308,29,21,9,0,64,0
2900,광주광역시,2901,동구,충장동,관내사전투표,1929,1929,1641,117,140,21,2,0,0
2900,광주광역시,2901,동구,충장동,충장동제1투,1203,632,430,119,71,2,1,571,0
2900,광주광역시,2901,동구,충장동,충장동제2투,1373,730,419,173,114,11,1,643,0
2900,광주광역시,2901,동구,동명동,관내사전투표,1441,1441,1197,94,121,18,0,0,0
2900,광주광역시,2901,동구,동명동,동명동제1투,769,380,234,87,49,4,0,389,0
2900,광주광역시,2901,동구,동명동,동명동제2투,767,437,322,62,37,12,2,330,0
2900,광주광역시,2901,동구,계림1동,관내사전투표,2733,2733,2463,131,108,18,1,0,0
2900,광주광역시,2901,동구,계림1동,계림1동제1투,1051,494,378,78,29,5,1,557,0
2900,광주광역시,2901,동구,계림1동,계림1동제2투,1064,554,416,95,34,1,0,510,0
2900,광주광역시,2901,동구,계림1동,계림1동제3투,2205,1727,1283,247,164,21,1,478,0
2900,광주광역시,2901,동구,계림2동,관내사전투표,3972,3972,3558,215,150,26,3,0,0
2900,광주광역시,2901,동구,계림2동,계림2동제1투,1779,1224,906,202,96,11,1,555,0
2900,광주광역시,2901,동구,계림2동,계림2동제2투,1894,1491,1138,200,129,15,1,403,0
2900,광주광역시,2901,동구,계림2동,계림2동제3투,1152,861,642,157,43,15,2,291,0
2900,광주광역시,2901,동구,산수1동,관내사전투표,2476,2476,2226,129,97,18,0,0,0
2900,광주광역시,2901,동구,산수1동,산수1동제1투,974,605,470,86,33,11,1,369,0
2900,광주광역시,2901,동구,산수1동,산수1동제2투,1075,595,490,68,25,8,1,480,0
2900,광주광역시,2901,동구,산수1동,산수1동제3투,949,622,443,117,45,11,1,327,0
2900,광주광역시,2901,동구,산수2동,관내사전투표,2713,2713,2457,137,80,22,1,0,0
2900,광주광역시,2901,동구,산수2동,산수2동제1투,777,402,308,62,23,4,1,375,0
2900,광주광역시,2901,동구,산수2동,산수2동제2투,1169,834,657,108,47,15,1,335,0
2900,광주광역시,2901,동구,산수2동,산수2동제3투,840,581,463,76,33,2,2,259,0
2900,광주광역시,2901,동구,산수2동,산수2동제4투,1022,784,579,164,34,6,0,238,0
2900,광주광역시,2901,동구,지산1동,관내사전투표,1639,1639,1367,127,117,18,3,0,0
2900,광주광역시,2901,동구,지산1동,지산1동투표소,1522,803,504,190,90,6,4,719,0
2900,광주광역시,2901,동구,지산2동,관내사전투표,1147,1147,1005,70,55,9,0,0,0
2900,광주광역시,2901,동구,지산2동,지산2동제1투,1226,685,450,164,59,2,1,541,0
2900,광주광역시,2901,동구,지산2동,지산2동제2투,447,221,156,40,19,4,0,226,0
2900,광주광역시,2901,동구,서남동,관내사전투표,1715,1715,1348,131,199,17,2,0,0
2900,광주광역시,2901,동구,서남동,서남동투표소,1303,647,409,125,91,10,2,656,0
2900,광주광역시,2901,동구,학동,관내사전투표,2254,2254,1885,161,188,12,0,0,0
2900,광주광역시,2901,동구,학동,학동제1투,1328,1040,847,111,69,12,0,288,0
2900,광주광역시,2901,동구,학동,학동제2투,1309,826,494,215,104,7,0,483,0
2900,광주광역시,2901,동구,학운동,관내사전투표,4363,4363,3902,276,148,20,2,0,0
2900,광주광역시,2901,동구,학운동,학운동제1투,871,466,312,110,37,3,0,405,0
2900,광주광역시,2901,동구,학운동,학운동제2투,1307,855,575,204,60,8,0,452,0
2900,광주광역시,2901,동구,학운동,학운동제3투,875,626,464,117,31,8,0,249,0
2900,광주광역시,2901,동구,학운동,학운동제4투,1111,779,563,155,45,8,2,332,0
2900,광주광역시,2901,동구,지원1동,관내사전투표,3011,3011,2740,133,100,22,1,0,0
2900,광주광역시,2901,동구,지원1동,지원1동제1투,1221,774,599,106,58,7,0,447,0
2900,광주광역시,2901,동구,지원1동,지원1동제2투,1784,1141,850,181,90,14,1,643,0
2900,광주광역시,2901,동구,지원2동,관내사전투표,4025,4025,3668,174,143,21,3,0,0
2900,광주광역시,2901,동구,지원2동,지원2동제1투,1366,1048,845,130,57,10,1,318,0
2900,광주광역시,2901,동구,지원2동,지원2동제2투,1940,1380,1116,172,65,15,2,560,0
2900,광주광역시,2901,동구,지원2동,지원2동제3투,1511,825,615,144,51,10,1,686,0
2900,광주광역시,2901,동구,지원2동,지원2동제4투,1582,1030,732,200,83,9,0,552,0
2900,광주광역시,2902,서구,거소·선상투표,거소·선상투표,510,476,353,56,58,1,0,34,0
2900,광주광역시,2902,서구,관외사전투표,관외사전투표,37324,37320,30996,2281,3405,326,44,4,0
2900,광주광역시,2902,서구,재외투표,재외투표,901,751,646,48,45,8,0,150,0
2900,광주광역시,2902,서구,양동,관내사전투표,1733,1733,1604,76,41,6,0,0,0
2900,광주광역시,2902,서구,양동,양동제1투,723,438,344,67,17,7,0,285,0
2900,광주광역시,2902,서구,양동,양동제2투,485,244,192,41,5,1,0,241,0
2900,광주광역시,2902,서구,양3동,관내사전투표,1597,1597,1485,48,47,13,2,0,0
2900,광주광역시,2902,서구,양3동,양3동제1투,1047,689,538,91,45,6,2,358,0
2900,광주광역시,2902,서구,양3동,양3동제2투,519,359,285,46,22,3,1,160,0
2900,광주광역시,2902,서구,농성1동,관내사전투표,3370,3370,3047,161,129,17,2,0,0
2900,광주광역시,2902,서구,농성1동,농성1동제1투,1068,563,432,87,34,6,0,505,0
2900,광주광역시,2902,서구,농성1동,농성1동제2투,1698,949,680,169,87,5,1,749,0
2900,광주광역시,2902,서구,농성1동,농성1동제3투,1739,925,648,176,84,12,1,814,0
2900,광주광역시,2902,서구,농성2동,관내사전투표,2047,2047,1815,99,101,14,2,0,0
2900,광주광역시,2902,서구,농성2동,농성2동제1투,991,487,367,82,29,3,0,504,0
2900,광주광역시,2902,서구,농성2동,농성2동제2투,930,547,401,91,40,12,0,383,0
